<TICKER> <PER> <DATE> <TIME> <CLOSE>
GAZP 60 20200807 110000 23.2400000
GAZP 60 20200807 120000 23.7500000
GAZP 60 20200807 130000 20.7700000
GAZP 60 20200807 140000 21.8200000
GAZP 60 20200807 150000 18.7600000
GAZP 60 20200807 160000 23.8000000
GAZP 60 20200807 170000 25.1900000
GAZP 60 20200807 180000 25.9500000
GAZP 60 20200807 190000 29.4100000
GAZP 60 20200807 200000 29.7400000
GAZP 60 20200807 210000 31.0700000
GAZP 60 20200807 220000 34.9100000
GAZP 60 20200807 230000 187.2800000
GAZP 60 20200808 000000 187.2300000
