<TICKER> <PER> <DATE> <TIME> <CLOSE>
DSKY D 20190827 000000 89.7600000
DSKY D 20190828 000000 90.0200000
DSKY D 20190829 000000 90.7000000
DSKY D 20190830 000000 90.2000000
DSKY D 20190902 000000 90.5000000
DSKY D 20190903 000000 89.6000000
DSKY D 20190904 000000 90.4000000
DSKY D 20190905 000000 90.4800000
DSKY D 20190906 000000 90.5000000
DSKY D 20190909 000000 90.3400000
DSKY D 20190910 000000 90.4000000
DSKY D 20190911 000000 90.1000000
DSKY D 20190912 000000 90.4800000
DSKY D 20190913 000000 90.8800000
DSKY D 20190916 000000 90.2000000
DSKY D 20190917 000000 90.2600000
DSKY D 20190918 000000 90.2800000
DSKY D 20190919 000000 90.0000000
DSKY D 20190920 000000 90.2000000
DSKY D 20190923 000000 90.3000000
DSKY D 20190924 000000 89.7200000
DSKY D 20190925 000000 89.9400000
DSKY D 20190926 000000 90.0200000
DSKY D 20190927 000000 89.6800000
DSKY D 20190930 000000 88.9200000
DSKY D 20191001 000000 89.3800000
DSKY D 20191002 000000 89.6400000
DSKY D 20191003 000000 89.6000000
DSKY D 20191004 000000 89.6000000
DSKY D 20191007 000000 89.6600000
DSKY D 20191008 000000 90.2600000
DSKY D 20191009 000000 90.1600000
DSKY D 20191010 000000 90.0800000
DSKY D 20191011 000000 89.8000000
DSKY D 20191014 000000 90.5200000
DSKY D 20191015 000000 91.2200000
DSKY D 20191016 000000 93.9600000
DSKY D 20191017 000000 94.3000000
DSKY D 20191018 000000 93.9400000
DSKY D 20191021 000000 94.2600000
DSKY D 20191022 000000 95.0000000
DSKY D 20191023 000000 96.0000000
DSKY D 20191024 000000 95.9800000
DSKY D 20191025 000000 95.2400000
DSKY D 20191028 000000 95.8600000
DSKY D 20191029 000000 97.2000000
DSKY D 20191030 000000 96.9600000
DSKY D 20191031 000000 95.9000000
DSKY D 20191101 000000 96.9600000
DSKY D 20191105 000000 97.1000000
DSKY D 20191106 000000 97.7600000
DSKY D 20191107 000000 98.2600000
DSKY D 20191108 000000 99.2800000
DSKY D 20191111 000000 99.3800000
DSKY D 20191112 000000 99.7400000
DSKY D 20191113 000000 98.5000000
DSKY D 20191114 000000 96.3000000
DSKY D 20191115 000000 96.5600000
DSKY D 20191118 000000 93.4600000
DSKY D 20191119 000000 95.6000000
DSKY D 20191120 000000 95.2000000
DSKY D 20191121 000000 93.0000000
DSKY D 20191122 000000 93.6000000
DSKY D 20191125 000000 94.3600000
DSKY D 20191126 000000 94.2600000
DSKY D 20191127 000000 93.6000000
DSKY D 20191128 000000 93.7200000
DSKY D 20191129 000000 94.6200000
DSKY D 20191202 000000 94.8200000
DSKY D 20191203 000000 95.0000000
DSKY D 20191204 000000 95.3000000
DSKY D 20191205 000000 95.7000000
DSKY D 20191206 000000 97.5600000
DSKY D 20191209 000000 98.0000000
DSKY D 20191210 000000 97.4800000
DSKY D 20191211 000000 97.9600000
DSKY D 20191212 000000 98.5000000
DSKY D 20191213 000000 98.7400000
DSKY D 20191216 000000 94.5000000
DSKY D 20191217 000000 96.9000000
DSKY D 20191218 000000 99.2800000
DSKY D 20191219 000000 99.5000000
DSKY D 20191220 000000 98.2000000
DSKY D 20191223 000000 97.6800000
DSKY D 20191224 000000 99.0000000
DSKY D 20191225 000000 98.9200000
DSKY D 20191226 000000 99.1000000
DSKY D 20191227 000000 100.0000000
DSKY D 20191230 000000 100.0000000
DSKY D 20200103 000000 101.5000000
DSKY D 20200106 000000 102.3600000
DSKY D 20200108 000000 102.5000000
DSKY D 20200109 000000 103.9200000
DSKY D 20200110 000000 105.5600000
DSKY D 20200113 000000 107.4000000
DSKY D 20200114 000000 107.0600000
DSKY D 20200115 000000 105.2400000
DSKY D 20200116 000000 109.1000000
DSKY D 20200117 000000 117.2000000
DSKY D 20200120 000000 115.2000000
DSKY D 20200121 000000 115.8000000
DSKY D 20200122 000000 117.6000000
DSKY D 20200123 000000 117.3200000
DSKY D 20200124 000000 116.7200000
