<TICKER> <PER> <DATE> <TIME> <CLOSE>
LNZL D 20190827 000000 7930.0000000
LNZL D 20190828 000000 7800.0000000
LNZL D 20190829 000000 7750.0000000
LNZL D 20190830 000000 7630.0000000
LNZL D 20190902 000000 7680.0000000
LNZL D 20190903 000000 7620.0000000
LNZL D 20190904 000000 7510.0000000
LNZL D 20190905 000000 7340.0000000
LNZL D 20190906 000000 7270.0000000
LNZL D 20190909 000000 7430.0000000
LNZL D 20190910 000000 7310.0000000
LNZL D 20190911 000000 7370.0000000
LNZL D 20190912 000000 7360.0000000
LNZL D 20190913 000000 7360.0000000
LNZL D 20190916 000000 7420.0000000
LNZL D 20190917 000000 7380.0000000
LNZL D 20190918 000000 7670.0000000
LNZL D 20190919 000000 7550.0000000
LNZL D 20190920 000000 7560.0000000
LNZL D 20190923 000000 7650.0000000
LNZL D 20190924 000000 7650.0000000
LNZL D 20190925 000000 7660.0000000
LNZL D 20190926 000000 7550.0000000
LNZL D 20190927 000000 7490.0000000
LNZL D 20190930 000000 7350.0000000
LNZL D 20191001 000000 7430.0000000
LNZL D 20191002 000000 7450.0000000
LNZL D 20191003 000000 7380.0000000
LNZL D 20191004 000000 7350.0000000
LNZL D 20191007 000000 7360.0000000
LNZL D 20191008 000000 7370.0000000
LNZL D 20191009 000000 7300.0000000
LNZL D 20191010 000000 7120.0000000
LNZL D 20191011 000000 6640.0000000
LNZL D 20191014 000000 6770.0000000
LNZL D 20191015 000000 6720.0000000
LNZL D 20191016 000000 6800.0000000
LNZL D 20191017 000000 6790.0000000
LNZL D 20191018 000000 6840.0000000
LNZL D 20191021 000000 6830.0000000
LNZL D 20191022 000000 6730.0000000
LNZL D 20191023 000000 6670.0000000
LNZL D 20191024 000000 6760.0000000
LNZL D 20191025 000000 6750.0000000
LNZL D 20191028 000000 6750.0000000
LNZL D 20191029 000000 6750.0000000
LNZL D 20191030 000000 6770.0000000
LNZL D 20191031 000000 6620.0000000
LNZL D 20191101 000000 6730.0000000
LNZL D 20191105 000000 6740.0000000
LNZL D 20191106 000000 6740.0000000
LNZL D 20191107 000000 6730.0000000
LNZL D 20191108 000000 6690.0000000
LNZL D 20191111 000000 6690.0000000
LNZL D 20191112 000000 6730.0000000
LNZL D 20191113 000000 6700.0000000
LNZL D 20191114 000000 6700.0000000
LNZL D 20191115 000000 6720.0000000
LNZL D 20191118 000000 6710.0000000
LNZL D 20191119 000000 6710.0000000
LNZL D 20191120 000000 6700.0000000
LNZL D 20191121 000000 6710.0000000
LNZL D 20191122 000000 6800.0000000
LNZL D 20191125 000000 6710.0000000
LNZL D 20191126 000000 6740.0000000
LNZL D 20191127 000000 6770.0000000
LNZL D 20191128 000000 6730.0000000
LNZL D 20191129 000000 6710.0000000
LNZL D 20191202 000000 6710.0000000
LNZL D 20191203 000000 6710.0000000
LNZL D 20191204 000000 6700.0000000
LNZL D 20191205 000000 6680.0000000
LNZL D 20191206 000000 6690.0000000
LNZL D 20191209 000000 6690.0000000
LNZL D 20191210 000000 6700.0000000
LNZL D 20191211 000000 6800.0000000
LNZL D 20191212 000000 6790.0000000
LNZL D 20191213 000000 6720.0000000
LNZL D 20191216 000000 6730.0000000
LNZL D 20191217 000000 6710.0000000
LNZL D 20191218 000000 6710.0000000
LNZL D 20191219 000000 6700.0000000
LNZL D 20191220 000000 6710.0000000
LNZL D 20191223 000000 6700.0000000
LNZL D 20191224 000000 6740.0000000
LNZL D 20191225 000000 6700.0000000
LNZL D 20191226 000000 6770.0000000
LNZL D 20191227 000000 6770.0000000
LNZL D 20191230 000000 6800.0000000
LNZL D 20200103 000000 7260.0000000
LNZL D 20200106 000000 8140.0000000
LNZL D 20200108 000000 8330.0000000
