<TICKER> <PER> <DATE> <TIME> <CLOSE>
MTSS D 20190827 000000 261.0500000
MTSS D 20190828 000000 265.3000000
MTSS D 20190829 000000 264.6000000
MTSS D 20190830 000000 266.3500000
MTSS D 20190902 000000 266.7000000
MTSS D 20190903 000000 266.2000000
MTSS D 20190904 000000 273.4000000
MTSS D 20190905 000000 275.1000000
MTSS D 20190906 000000 272.3000000
MTSS D 20190909 000000 272.5500000
MTSS D 20190910 000000 269.0000000
MTSS D 20190911 000000 270.4000000
MTSS D 20190912 000000 267.4000000
MTSS D 20190913 000000 267.9500000
MTSS D 20190916 000000 269.3000000
MTSS D 20190917 000000 269.8500000
MTSS D 20190918 000000 271.0000000
MTSS D 20190919 000000 270.3000000
MTSS D 20190920 000000 273.0500000
MTSS D 20190923 000000 269.5000000
MTSS D 20190924 000000 266.1500000
MTSS D 20190925 000000 264.7000000
MTSS D 20190926 000000 266.0000000
MTSS D 20190927 000000 266.7000000
MTSS D 20190930 000000 265.0000000
MTSS D 20191001 000000 264.4500000
MTSS D 20191002 000000 262.3500000
MTSS D 20191003 000000 262.6500000
MTSS D 20191004 000000 263.4000000
MTSS D 20191007 000000 265.7000000
MTSS D 20191008 000000 260.9000000
MTSS D 20191009 000000 268.6500000
MTSS D 20191010 000000 272.7500000
MTSS D 20191011 000000 268.0000000
MTSS D 20191014 000000 265.5000000
MTSS D 20191015 000000 267.5000000
MTSS D 20191016 000000 267.7500000
MTSS D 20191017 000000 265.3500000
MTSS D 20191018 000000 269.1000000
MTSS D 20191021 000000 267.0000000
MTSS D 20191022 000000 270.3000000
MTSS D 20191023 000000 270.9500000
MTSS D 20191024 000000 275.2500000
MTSS D 20191025 000000 278.6500000
MTSS D 20191028 000000 285.7000000
MTSS D 20191029 000000 287.3000000
MTSS D 20191030 000000 287.7500000
MTSS D 20191031 000000 285.0000000
MTSS D 20191101 000000 286.3000000
MTSS D 20191105 000000 289.7500000
MTSS D 20191106 000000 291.8000000
MTSS D 20191107 000000 299.6000000
MTSS D 20191108 000000 300.3000000
MTSS D 20191111 000000 297.8000000
MTSS D 20191112 000000 299.5000000
MTSS D 20191113 000000 298.6000000
MTSS D 20191114 000000 297.3000000
MTSS D 20191115 000000 300.2000000
MTSS D 20191118 000000 297.4500000
MTSS D 20191119 000000 305.5000000
MTSS D 20191120 000000 306.1000000
MTSS D 20191121 000000 306.0000000
MTSS D 20191122 000000 305.1500000
MTSS D 20191125 000000 308.5000000
MTSS D 20191126 000000 304.5000000
